comparison,algorithm,scope,n,events,core_model,extended_model,weight_variable,strategy,threshold_probability,net_benefit,bootstrap_se,ci_lower,ci_upper,valid_replicates,ci_level,ci_method
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.18,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.19,0.0294268367701734,0.0023389708207704,0.0248673860179749,0.0337067566863129,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.19,0.0013341273740154,0.0010155159625487,-0.0006564477127151,0.0033236280610124,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.19,0.0307609641441888,0.0021843795619555,0.0265370218640455,0.0347705841760149,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.19,-0.1211598292989902,0.0041497826578333,-0.1294627943029149,-0.1130761772085686,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.19,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.2,0.0281125508706165,0.0023070442525846,0.0235007161359978,0.032458544765688,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.2,0.0013484166715206,0.0011952956897916,-0.0008854640570584,0.0037447474684289,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.2,0.0294609675421372,0.0022136204150484,0.025119026651492,0.0338506573450343,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.2,-0.1351743271652277,0.0042016549410562,-0.1435810792317013,-0.1269896294236757,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.2,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.21,0.0261498480315075,0.0022986080273507,0.0215275146791031,0.030432881195882,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.21,0.001627468683411,0.0011496571239162,-0.0004778490189269,0.0039005637646905,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.21,0.0277773167149186,0.0020790177179634,0.0237955960840058,0.0318186482476635,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.21,-0.1495436224458001,0.0042548404466392,-0.1580567890953937,-0.1412553209353678,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.21,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.22,0.0238466139757969,0.0021953356594439,0.0193486049935847,0.0280995885234948,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.22,0.0028876650662428,0.001202559220733,0.0004896079196081,0.0051756796241937,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.22,0.0267342790420397,0.0021321979426263,0.0226163572680296,0.030845601982934,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.22,-0.1642813611951053,0.0043093896831346,-0.1729036710068732,-0.1558867994088982,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.22,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.23,0.0222651025503567,0.0021549381667991,0.0179465795947511,0.0263941469156916,2000,0.95,survey_Rao_Wu_percentile
