comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,delta_AUROC,delta_PR_AUC,delta_Brier_improvement,delta_log_loss_improvement,core_calibration_intercept,extended_calibration_intercept,core_calibration_slope,extended_calibration_slope,absolute_intercept_deviation_change,absolute_slope_deviation_change,imbalance_setting
inflammatory,elastic_net,2005-2006,4448,533,combined_mec_weight,model0_core,model3_inflammatory,0.002166886691703951,0.004032421461208968,0.0011974112960648764,0.0023365997847151765,-1.9597771091241545,-1.957622338638663,0.9667215704896597,0.9726007575234692,0.0021547704854913974,0.005879187033809519,class_weighted_refit
inflammatory,elastic_net,2007-2008,5649,677,combined_mec_weight,model0_core,model3_inflammatory,0.000853392054069313,0.008565813980505654,0.0013380807251177074,0.003197660647986711,-2.0596066410346388,-2.0516278502494325,0.9930416837797377,0.9991109587556214,0.007978790785206247,0.0060692749758837206,class_weighted_refit
inflammatory,elastic_net,2009-2010,5990,646,combined_mec_weight,model0_core,model3_inflammatory,-4.840861198007751e-06,0.003057541855545798,0.0013393648696144733,0.00305387821702513,-2.121793262388353,-2.1119739140735914,0.9141963555993503,0.9117942493039664,0.009819348314761722,-0.0024021062953839545,class_weighted_refit
inflammatory,elastic_net,2011-2012,5260,550,combined_mec_weight,model0_core,model3_inflammatory,0.0009804336461388674,0.00432523908267507,0.0016726954017622364,0.0037435536744555575,-2.0074717574637315,-1.9962859717979609,0.9242202136649675,0.9240593474490886,0.011185785665770664,-0.0001608662158789631,class_weighted_refit
inflammatory,elastic_net,2013-2014,5522,573,combined_mec_weight,model0_core,model3_inflammatory,0.0008183164295650913,0.001991528844726753,-0.0007117673350362785,-0.003099821244242018,-2.0684549023422565,-2.086764012915217,0.9574373050347402,0.9464275493137763,-0.018309110572960474,-0.011009755720963965,class_weighted_refit
inflammatory,elastic_net,2015-2016,5404,597,combined_mec_weight,model0_core,model3_inflammatory,0.0008720448040197004,0.009484283051257203,-0.0001391161149054132,-0.0011826288671945018,-2.1496615857464563,-2.161947074005975,1.0285281661831602,1.020909577120896,-0.012285488259518917,0.007618589062264203,class_weighted_refit
inflammatory,elastic_net,2017-2018,5209,646,combined_mec_weight,model0_core,model3_inflammatory,0.0005794423457405884,-0.0060948202015918,0.00029071911879419154,-0.0005230336045010664,-2.0644431551293536,-2.0651637802603657,0.9741983337244106,0.9598265470807344,-0.0007206251310121203,-0.01437178664367611,class_weighted_refit
inflammatory,xgboost,2005-2006,4448,533,combined_mec_weight,model0_core,model3_inflammatory,0.0011307381499264801,-0.0058189286488685155,0.0009919296083728546,0.0018343800040471203,-1.852256289121755,-1.8433364058826225,1.092683069417514,1.099338716651467,0.00891988323913262,-0.006655647233952955,class_weighted_refit
inflammatory,xgboost,2007-2008,5649,677,combined_mec_weight,model0_core,model3_inflammatory,-0.0008943308028080965,0.00613640043903213,0.0013584471433358836,0.003085516929809018,-2.0088170220882287,-1.9893516143890497,1.1138423579929189,1.1093534471534299,0.019465407699178927,0.004488910839488991,class_weighted_refit
inflammatory,xgboost,2009-2010,5990,646,combined_mec_weight,model0_core,model3_inflammatory,-0.00010932114221706701,0.0013372595539056231,-2.254879441887514e-06,0.0003986849311100049,-2.0570860380824865,-2.067059643210469,1.020932507835959,0.9622553176014307,-0.009973605127982399,-0.016812174562610305,class_weighted_refit
inflammatory,xgboost,2011-2012,5260,550,combined_mec_weight,model0_core,model3_inflammatory,-0.0005789588591164074,0.004760034555258141,0.0022632522776321606,0.005675792371613697,-1.9193542273576987,-1.8983898324376576,0.9304186859683152,0.9142119359332482,0.020964394920041096,-0.016206750035066997,class_weighted_refit
inflammatory,xgboost,2013-2014,5522,573,combined_mec_weight,model0_core,model3_inflammatory,0.0026365719155962974,-0.0012311824430041862,-0.0019305281419414455,-0.009740006746482177,-2.0344545904231235,-2.0805474537843787,0.9256551193813427,1.0238938539262383,-0.046092863361255176,0.050451026692418965,class_weighted_refit
inflammatory,xgboost,2015-2016,5404,597,combined_mec_weight,model0_core,model3_inflammatory,0.0005627789201083644,-0.00027468816955478204,0.003392730983196618,0.008376414481851946,-2.141075940132925,-2.106924229041695,1.0608965628106164,1.040441150342389,0.03415171109122994,0.020455412468227463,class_weighted_refit
inflammatory,xgboost,2017-2018,5209,646,combined_mec_weight,model0_core,model3_inflammatory,0.0015530852170198006,-0.003835954453415946,-0.00034372190195883223,-0.003338365917498254,-2.0351051985241915,-2.0461217979310966,1.0114157194129934,0.9481411603909498,-0.011016599406905137,-0.04044312019605689,class_weighted_refit
metabolic,elastic_net,2005-2006,1836,216,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0036659770646455536,0.0028277284889995924,5.234774074683313e-05,0.000885685080472487,-1.9277981750888515,-1.9341574048012724,0.8803367303913088,0.8937731109644601,-0.006359229712420866,0.01343638057315133,class_weighted_refit
metabolic,elastic_net,2007-2008,2337,288,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0008267233971366306,-0.003959043768223092,-6.576970577926167e-05,-0.00022362837060191376,-2.050403947563965,-2.0539628143111655,0.9949648417700007,0.9912535754439074,-0.0035588667472006286,-0.00371126632609331,class_weighted_refit
